Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles
319,319,,2,6,0.242006,0.252636,92.497221,0,0
392,392,,3,6,0.247338,0.258959,790.870136,0,0
537,537,,4,6,0.24826,0.261495,1056.882745,0,0
827,827,,2,6,0.240955,0.251902,209.94766,0,0
869,869,,2,6,0.243421,0.254338,162.460825,0,0
22,22,,4,6,0.277731,0.294278,1860.757835,0,0
68,68,,5,6,0.246484,0.26036,1253.472887,0,0
79,79,,5,6,0.263588,0.277744,1972.539227,0,0
92,92,,5,6,0.259077,0.274508,1434.019087,0,0
101,101,,11,6,0.265198,0.283884,4066.271509,0,0
596,596,,2,6,0.242358,0.253287,129.370121,0,0
647,647,,3,6,0.241713,0.253103,449.345546,0,0
759,759,,2,6,0.239396,0.249733,18.072428,0,0
853,853,,2,6,0.249003,0.261311,253.033472,0,0
855,855,,2,6,0.245394,0.256807,140.049093,0,0
924,924,,2,6,0.239626,0.250033,112.494441,0,0
966,966,,2,6,0.242006,0.252486,42.02987,0,0
20,20,,10,5,0.296088,0.316183,4829.737985,0.022222,1
36,36,,9,5,0.29066,0.310894,5003.880677,0.027778,1
41,41,,8,5,0.284453,0.302302,3263.529789,0,0
47,47,,7,5,0.288645,0.307691,3058.985132,0.047619,1
73,73,,8,6,0.280382,0.298966,3888.894539,0,0
84,84,,3,6,0.2731,0.289206,617.352486,0.333333,1
90,90,,5,6,0.276119,0.292843,1774.953902,0,0
102,102,,8,6,0.288562,0.307007,3255.327359,0,0
131,131,,4,6,0.277963,0.294378,1602.163909,0,0
136,136,,4,6,0.276272,0.292359,2324.953772,0,0
154,154,,2,6,0.270732,0.285085,186.572618,0,0
168,168,,10,5,0.278972,0.299066,5066.05783,0,0
200,200,,7,6,0.277038,0.294728,3062.512061,0.047619,1
210,210,,3,6,0.2743,0.289156,993.807299,0,0
211,211,,6,6,0.278817,0.29658,3535.195341,0,0
245,245,,4,6,0.274375,0.29049,2416.342379,0,0
266,266,,6,6,0.275891,0.293994,2653.834643,0.066667,1
276,276,,9,6,0.277269,0.29653,5004.877539,0,0
280,280,,2,6,0.272802,0.287855,318.741247,0,0
303,303,,4,6,0.270292,0.286036,1792.624392,0,0
389,389,,3,6,0.270658,0.285969,1291.994079,0,0
468,468,,3,6,0.273924,0.289106,1043.70371,0,0
484,484,,2,6,0.270073,0.285018,704.293831,0,0
531,531,,3,6,0.271911,0.286987,775.747742,0,0
551,551,,2,6,0.274526,0.289473,196.197355,0,0
553,553,,3,6,0.274149,0.289473,274.470097,0,0
566,566,,3,6,0.271099,0.286286,978.943284,0,0
590,590,,2,6,0.274526,0.289389,275.006931,0,0
642,642,,2,5,0.285837,0.301785,347.524881,0,0
674,674,,2,6,0.271911,0.285969,160.957211,0,0
712,712,,2,6,0.2692,0.2836,140.644002,0,0
733,733,,2,6,0.270658,0.285002,81.894171,0,0
756,756,,3,6,0.270439,0.285369,1638.273548,0,0
772,772,,2,6,0.278661,0.294745,517.747962,0,0
831,831,,2,6,0.268693,0.283116,326.757618,0,0
882,882,,2,6,0.278118,0.292976,306.6299,0,0
961,961,,2,6,0.26891,0.283483,873.140585,0,0
995,995,,2,6,0.272059,0.286453,0,1,1
58,58,,3,6,0.274526,0.289706,1331.79229,0,0
65,65,,5,5,0.286575,0.305639,3967.724865,0,0
135,135,,10,6,0.265057,0.28305,4167.116194,0,0
202,202,,5,6,0.267255,0.282966,1553.58522,0,0
204,204,,5,6,0.251131,0.265232,1565.556501,0,0
230,230,,5,6,0.250879,0.265382,1132.503351,0,0
236,236,,3,6,0.265339,0.278896,432.943505,0,0
271,271,,5,6,0.259211,0.274341,1475.925775,0,0
273,273,,5,6,0.249875,0.263997,1595.412849,0,0
454,454,,5,6,0.254134,0.268869,2198.346423,0,0
462,462,,4,6,0.248941,0.262596,800.926567,0,0
463,463,,3,6,0.258407,0.272689,450.031341,0,0
475,475,,3,6,0.262274,0.276627,752.655773,0,0
501,501,,3,6,0.247338,0.259726,293.455157,0,0
568,568,,3,6,0.264356,0.277578,990.898119,0,0
623,623,,2,6,0.244613,0.25619,514.182374,0,0
719,719,,2,6,0.245877,0.257758,219.190542,0,0
769,769,,3,6,0.251068,0.263881,314.997065,0,0
844,844,,3,6,0.256088,0.269786,669.210245,0,0
848,848,,2,6,0.249189,0.261328,174.743459,0,0
917,917,,2,6,0.244374,0.256006,128.735312,0,0
930,930,,2,6,0.245455,0.257291,307.182849,0,0
32,32,,16,5,0.298833,0.32329,10400.689568,0.016667,2
37,37,,13,5,0.293737,0.315849,7360.015357,0,0
43,43,,5,5,0.283887,0.300968,1633.831706,0.1,1
49,49,,16,5,0.290576,0.314331,9584.713784,0,0
57,57,,7,5,0.282124,0.299483,2818.108597,0,0
83,83,,5,6,0.268044,0.285068,2028.919147,0,0
85,85,,3,6,0.273474,0.288038,973.255837,0,0
88,88,,5,6,0.269417,0.28622,1518.455592,0,0
128,128,,3,6,0.281726,0.297314,555.527393,0,0
155,155,,7,6,0.267542,0.284134,2449.454733,0,0
170,170,,9,5,0.277654,0.295028,3591.513857,0,0
180,180,,5,5,0.271837,0.288071,2507.44362,0,0
232,232,,2,6,0.259481,0.272322,344.907745,0,0
238,238,,5,6,0.263658,0.278161,1487.409976,0,0
300,300,,5,6,0.260021,0.275108,2197.827937,0,0
311,311,,4,6,0.269345,0.284067,577.654903,0.166667,1
410,410,,4,6,0.262342,0.277561,2093.279258,0,0
505,505,,4,6,0.264286,0.280564,1413.691777,0,0
534,534,,2,6,0.260292,0.272923,125.209853,0,0
656,656,,2,6,0.264987,0.277678,124.165565,0,0
745,745,,3,6,0.263102,0.277628,701.507436,0,0
786,786,,2,6,0.256549,0.269386,283.246849,0,0
808,808,,2,6,0.261518,0.275142,360.624388,0,0
840,840,,2,6,0.265409,0.279146,476.286532,0,0
24,24,,19,5,0.30729,0.334218,13807.781467,0.005848,1
52,52,,5,6,0.265621,0.282032,1580.707772,0,0
80,80,,11,6,0.268837,0.28964,4610.874562,0.018182,1
93,93,,15,5,0.283404,0.306306,9694.708795,0,0
110,110,,9,6,0.281329,0.301502,4612.055098,0,0
121,121,,3,6,0.255695,0.269403,703.933272,0,0
205,205,,8,6,0.26331,0.281365,3041.13026,0,0
234,234,,4,6,0.268693,0.285369,1555.715644,0,0
343,343,,4,6,0.262274,0.276827,1197.88859,0,0
384,384,,2,6,0.255891,0.268836,188.390357,0,0
427,427,,2,6,0.26248,0.276693,0,1,1
429,429,,2,6,0.257806,0.271738,231.865999,0,0
439,439,,4,6,0.275738,0.292809,1653.312027,0,0
445,445,,3,6,0.264426,0.277945,282.684038,0,0
493,493,,5,6,0.262964,0.278362,1877.221441,0,0
503,503,,2,6,0.264776,0.278111,402.020032,0,0
554,554,,2,6,0.264706,0.278145,158.628568,0,0
602,602,,2,6,0.265339,0.280647,311.646927,0,0
652,652,,2,6,0.255172,0.268151,229.008335,0,0
722,722,,2,6,0.26248,0.275742,139.694465,0,0
774,774,,3,6,0.265691,0.281648,1084.555982,0,0
104,104,,6,6,0.263033,0.277477,1471.361648,0,0
187,187,,3,6,0.252528,0.265048,95.390182,0,0
235,235,,6,6,0.254847,0.268318,1174.117234,0,0
56,56,,11,6,0.249438,0.267351,3298.700003,0,0
67,67,,6,6,0.243125,0.258025,1869.971989,0,0
127,127,,3,6,0.242476,0.255172,534.746901,0,0
156,156,,3,6,0.242182,0.254605,263.952168,0,0
164,164,,4,6,0.258073,0.272706,1268.410344,0,0
254,254,,2,6,0.240723,0.253303,355.309821,0,0
378,378,,2,6,0.245575,0.257474,79.434868,0,0
473,473,,3,6,0.243659,0.256273,568.225776,0,0
485,485,,2,6,0.243777,0.255856,106.090808,0,0
499,499,,3,6,0.235836,0.248599,288.203495,0,0
622,622,,3,6,0.247952,0.261044,381.336882,0,0
643,643,,3,6,0.244016,0.257875,570.540709,0,0
760,760,,2,6,0.231733,0.243043,141.641377,0,0
858,858,,2,6,0.23125,0.242576,77.273138,0,0
890,890,,2,6,0.246059,0.258375,102.629019,0,0
30,30,,3,6,0.271763,0.286036,518.847574,0,0
35,35,,25,6,0.29279,0.321288,15091.550091,0,0
71,71,,5,6,0.27243,0.289523,1665.848785,0,0
126,126,,12,5,0.276961,0.297898,5868.601213,0.030303,2
158,158,,5,6,0.269345,0.285536,1688.784887,0,0
194,194,,7,6,0.267542,0.285169,1903.059698,0.047619,1
209,209,,3,6,0.259413,0.273941,212.47665,0.333333,1
216,216,,4,6,0.265974,0.281265,1114.118421,0,0
296,296,,2,6,0.260495,0.274074,367.777984,0,0
297,297,,3,6,0.268116,0.283467,338.090744,0,0
421,421,,2,6,0.25975,0.273924,0,1,1
447,447,,2,6,0.261861,0.275659,381.274211,0,0
497,497,,2,6,0.259953,0.273774,287.458913,0,0
560,560,,2,6,0.262549,0.276343,173.722273,0,0
581,581,,2,6,0.265904,0.279429,93.143845,0,0
646,646,,2,6,0.266613,0.28043,196.054025,0,0
649,649,,3,6,0.264846,0.278712,1139.009329,0,0
665,665,,2,6,0.268188,0.28285,0,1,1
709,709,,3,6,0.261176,0.275375,1218.290172,0,0
727,727,,3,6,0.268765,0.284218,629.889656,0,0
746,746,,2,6,0.262826,0.277611,316.863007,0,0
765,765,,2,6,0.262342,0.275893,225.239549,0,0
768,768,,2,6,0.26036,0.274341,136.156928,0,0
771,771,,3,6,0.25854,0.272639,862.312246,0,0
927,927,,2,6,0.26331,0.276877,133.01595,0,0
929,929,,2,6,0.263728,0.277044,139.894161,0,0
50,50,,3,6,0.265268,0.279229,869.316812,0,0
59,59,,16,6,0.269345,0.290374,5019.407521,0,0
113,113,,8,6,0.256812,0.27309,3071.06755,0,0
174,174,,6,6,0.269272,0.284902,1621.332087,0,0
486,486,,4,6,0.246059,0.258108,1475.502117,0,0
524,524,,3,6,0.251828,0.264965,865.450256,0,0
653,653,,3,6,0.245999,0.257124,101.810052,0.333333,1
818,818,,2,6,0.242652,0.25297,0,1,1
978,978,,2,6,0.250816,0.262312,98.687624,0,0
278,278,,5,6,0.244673,0.257774,1065.740342,0,0
285,285,,4,6,0.253168,0.264698,426.93313,0.166667,1
762,762,,2,6,0.235059,0.245546,30.924454,0,0
167,167,,6,6,0.255826,0.270103,1321.027765,0,0
175,175,,4,6,0.246911,0.260344,341.964674,0,0
220,220,,2,6,0.247706,0.25956,62.756015,0,0
514,514,,2,6,0.249563,0.260861,41.968172,0,0
671,671,,2,6,0.249376,0.260777,89.781018,0,0
695,695,,2,6,0.244553,0.256323,82.314897,0,0
845,845,,2,6,0.250879,0.262379,27.923449,0,0
42,42,,6,6,0.270439,0.285102,1005.954785,0,0
257,257,,4,6,0.234948,0.246547,807.215024,0,0
310,310,,3,6,0.240029,0.252569,569.918815,0,0
686,686,,2,6,0.240087,0.251852,144.02994,0,0
726,726,,2,6,0.237857,0.249216,79.214758,0,0
885,885,,2,6,0.237857,0.249216,79.214758,0,0
407,407,,4,6,0.243599,0.254988,591.899549,0,0
422,422,,2,6,0.24183,0.251468,7.42619,0,0
651,651,,2,6,0.240839,0.250684,30.254255,0,0
403,403,,3,7,0.223991,0.23376,470.034521,0,0
326,326,,7,6,0.251764,0.267367,1901.614965,0,0
354,354,,5,6,0.24183,0.255055,1620.891416,0,0
773,773,,2,6,0.236954,0.247814,161.179116,0,0
889,889,,2,6,0.237123,0.247931,82.371079,0,0
911,911,,3,6,0.253682,0.266717,448.080572,0,0
45,45,,13,5,0.275662,0.296213,5945.811427,0,0
107,107,,3,6,0.257143,0.270654,221.648123,0,0
120,120,,4,6,0.249563,0.263263,784.464306,0,0
177,177,,6,6,0.256483,0.271205,980.322701,0,0
274,274,,3,6,0.246545,0.258742,143.642165,0,0
355,355,,2,6,0.246484,0.259293,157.037693,0,0
583,583,,3,6,0.25394,0.266683,987.271319,0,0
597,597,,2,6,0.239396,0.251335,292.221213,0,0
717,717,,3,6,0.240723,0.252719,537.923367,0,0
891,891,,2,6,0.240955,0.252369,134.04188,0,0
947,947,,2,6,0.255368,0.2666,42.512337,0,0
388,388,,4,6,0.239281,0.24965,617.9404,0,0
